episode,instability_humans,instability_CAVs,avg_time_lost,time_excess
205,314,209,37.42,
210,0,20,37.25,
215,0,23,37.25,
220,0,21,37.300000000000004,
225,0,20,37.269999999999996,
230,0,16,37.580000000000005,
235,0,15,37.440000000000005,
240,0,20,37.39,
245,0,24,37.480000000000004,
250,0,22,37.239999999999995,
255,0,14,37.39,
260,0,20,37.43,
265,0,20,37.39,
270,0,59,36.730000000000004,
275,0,19,36.77,
280,0,23,37.39,
285,0,23,37.120000000000005,
290,0,32,37.02,
295,0,28,36.7,
300,0,26,36.98,
305,0,23,36.89,
310,0,19,36.93,
315,0,24,36.79,
320,0,21,37.07,
325,0,24,36.96,
330,0,45,36.65,
335,0,25,36.53,
340,0,17,36.58,
345,0,17,36.53,
350,0,19,36.82,
355,0,26,36.52,
360,0,29,36.66,
365,0,24,36.46,
370,0,23,36.51,
375,0,23,36.54,
380,0,24,36.57,
385,0,19,36.76,
390,0,21,36.67,
395,0,22,36.46,
400,0,19,36.37,
405,0,20,36.4,
410,0,24,36.47,
415,0,18,36.4,
420,0,18,36.33,
425,0,21,36.42,
430,0,24,36.48,
435,0,22,36.35,
440,0,13,36.51,
445,0,18,36.330000000000005,
450,0,17,36.269999999999996,
455,0,20,36.440000000000005,
460,0,20,36.39,
465,0,12,36.32,
470,0,11,36.39,
475,0,14,36.34,
480,0,16,36.34,
485,0,18,36.57,
490,0,11,36.550000000000004,
495,0,17,36.339999999999996,
500,0,18,36.33,
505,0,16,36.21,
510,0,9,36.25,
515,0,12,36.29,
520,0,15,36.45,
525,0,14,36.41,
530,0,11,36.1,
535,0,8,36.370000000000005,
540,0,8,36.46,
545,0,10,36.300000000000004,
550,0,13,36.300000000000004,
555,0,9,36.190000000000005,
560,0,12,36.43,
565,0,12,36.269999999999996,
570,0,11,36.28,
575,0,14,36.41,
580,0,16,36.36,
585,0,13,36.26,
590,0,14,36.26,
595,0,7,36.26,
600,0,7,36.24,
605,0,13,36.21,
610,0,12,36.36,
615,0,7,36.18,
620,0,7,36.25,
625,0,7,36.21,
630,0,6,36.230000000000004,
635,0,11,36.35,
640,0,8,36.39,
645,0,11,36.16,
650,0,12,36.27,
655,0,6,36.32,
660,0,5,36.260000000000005,
665,0,7,36.21,
670,0,7,36.23,
675,0,11,36.26,
680,0,9,36.23,
685,0,11,36.2,
690,0,8,36.29,
695,0,8,36.12,
700,0,5,36.14,
705,0,7,36.12,
710,0,6,36.37,
715,0,9,36.21,
720,0,5,36.27,
725,0,5,36.25,
730,0,5,36.35,
735,0,4,36.33,
740,0,4,36.239999999999995,
745,0,5,36.32,
750,0,5,36.190000000000005,
755,0,6,36.26,
760,0,5,36.25,
765,0,5,36.12,
770,0,5,36.23,
775,0,4,36.25,
780,0,5,36.14,
785,0,3,36.27,
790,0,5,36.19,
795,0,4,36.17,
800,0,5,36.260000000000005,
805,0,7,36.15,
810,0,6,36.239999999999995,
815,0,7,36.18,
820,0,3,36.21,
825,0,2,36.17,
830,0,3,36.14,
835,0,2,36.03,
840,0,5,36.28,
845,0,5,36.19,
850,0,3,36.059999999999995,
855,0,4,36.28,
860,0,5,36.160000000000004,
865,0,4,36.14,
870,0,4,36.19,
875,0,7,36.27,
880,0,6,36.23,
885,0,8,36.36,
890,0,4,36.48,
895,0,5,36.16,
900,0,2,36.13,
905,0,5,36.28,
910,0,4,36.31,
915,0,3,36.22,
920,0,4,36.220000000000006,
925,0,2,36.190000000000005,
930,0,1,36.16,
935,0,4,36.120000000000005,
940,0,4,36.16,
945,0,1,36.190000000000005,
950,0,0,36.190000000000005,
955,0,1,36.28,
960,0,2,36.16,
965,0,0,36.16,
970,0,2,36.230000000000004,
975,0,3,36.31,
980,0,3,36.199999999999996,
985,0,3,36.31,
990,0,1,36.28,
995,0,2,36.18,
1000,0,3,36.28,
1005,0,2,36.25,
1010,0,1,36.16,
1015,0,2,36.28,
1020,0,2,36.18,
1025,0,2,36.199999999999996,
1030,0,2,36.199999999999996,
1035,0,4,36.28,
1040,0,1,36.24,
1045,0,2,36.27,
1050,0,1,36.28,
1055,0,2,36.18,
1060,0,2,36.18,
1065,0,2,36.02,
1070,0,3,36.27,
1075,0,2,36.08,
1080,0,1,36.28,
1085,0,1,36.27,
1090,0,2,36.24,
1095,0,1,36.18,
1100,0,4,36.09,
1105,0,0,36.09,
1110,0,1,36.01,
1115,0,2,36.36,
1120,0,2,36.19,
1125,0,2,36.2,
1130,0,0,36.2,
1135,0,1,36.36,
1140,0,0,36.36,
1145,0,1,36.2,
1150,0,2,36.19,
1155,0,1,36.36,
1160,0,2,36.3,
1165,0,4,36.12,
1170,0,3,36.19,
1175,0,2,36.09,
1180,0,1,36.36,
1185,0,2,36.18,
1190,0,2,36.36,
1195,0,2,36.14,
1200,0,3,36.14,
1205,0,2,36.09,
1210,0,0,36.09,
1215,0,0,36.09,
1220,0,0,36.09,
1225,0,0,36.09,
1230,0,0,36.09,
1235,0,0,36.09,
1240,0,0,36.09,
1245,0,0,36.09,
1250,0,0,36.09,
1255,0,0,36.09,
1260,0,0,36.09,
1265,0,0,36.09,
1270,0,0,36.09,
1275,0,0,36.09,
1280,0,0,36.09,
1285,0,0,36.09,
1290,0,0,36.09,
1295,0,0,36.09,
1300,0,0,36.09,
