episode,instability_humans,instability_CAVs,avg_time_lost,time_excess
205,621,414,91.67,
210,0,27,91.92,
215,0,30,93.29,
220,0,34,93.84,
225,0,34,93.23,
230,0,30,92.36,
235,0,28,92.84,
240,0,23,91.53,
245,0,25,92.25,
250,0,25,92.92,
255,0,21,93.33,
260,0,22,92.04,
265,0,24,91.93,
270,0,102,91.21000000000001,
275,0,24,92.01,
280,0,32,92.16000000000001,
285,0,33,92.19,
290,0,31,91.81,
295,0,28,91.72,
300,0,33,91.73,
305,0,39,91.94,
310,0,44,91.74000000000001,
315,0,37,93.25999999999999,
320,0,32,91.85000000000001,
325,0,30,93.8,
330,0,51,91.83,
335,0,39,91.75,
340,0,31,91.25,
345,0,29,91.22,
350,0,33,91.91999999999999,
355,0,33,91.19000000000001,
360,0,38,92.19,
365,0,42,90.78999999999999,
370,0,45,93.11,
375,0,39,92.53,
380,0,38,92.36999999999999,
385,0,37,90.86,
390,0,33,92.84,
395,0,47,91.84,
400,0,27,91.96000000000001,
405,0,23,91.13000000000001,
410,0,23,91.13,
415,0,29,91.47,
420,0,34,90.84,
425,0,26,92.12,
430,0,22,90.72,
435,0,24,90.56,
440,0,26,90.60000000000001,
445,0,37,91.36,
450,0,25,91.45,
455,0,26,91.59,
460,0,33,91.02000000000001,
465,0,22,90.85,
470,0,19,91.61,
475,0,25,91.35000000000001,
480,0,24,91.66,
485,0,26,90.76,
490,0,30,91.52,
495,0,25,91.78999999999999,
500,0,20,91.4,
505,0,23,91.49,
510,0,29,90.85000000000001,
515,0,25,91.17999999999999,
520,0,26,91.63999999999999,
525,0,32,91.33,
530,0,15,90.47,
535,0,19,91.4,
540,0,20,90.29,
545,0,12,90.46,
550,0,24,90.82,
555,0,16,90.98,
560,0,19,88.8,
565,0,19,91.53999999999999,
570,0,12,92.21000000000001,
575,0,12,91.32000000000001,
580,0,11,90.78,
585,0,11,90.8,
590,0,19,91.29,
595,0,14,91.00999999999999,
600,0,17,89.84,
605,0,15,90.35,
610,0,8,90.31,
615,0,13,90.35,
620,0,12,90.94,
625,0,15,89.49000000000001,
630,0,10,91.72,
635,0,13,90.61999999999999,
640,0,15,91.08,
645,0,16,91.05,
650,0,15,91.13,
655,0,12,89.75,
660,0,7,91.4,
665,0,10,89.96000000000001,
670,0,11,89.74,
675,0,9,91.11,
680,0,9,91.24000000000001,
685,0,9,90.25,
690,0,7,91.14999999999999,
695,0,9,92.32,
700,0,13,90.62,
705,0,8,90.22000000000001,
710,0,6,90.36999999999999,
715,0,14,91.07,
720,0,7,91.32000000000001,
725,0,10,91.12,
730,0,12,91.64,
735,0,13,91.02,
740,0,12,92.46000000000001,
745,0,12,91.77,
750,0,13,90.66,
755,0,10,91.07000000000001,
760,0,13,112.63,
765,0,8,91.61,
770,0,9,91.10000000000001,
775,0,8,90.44,
780,0,8,90.25,
785,0,6,91.0,
790,0,9,91.75,
795,0,8,91.55,
800,0,8,91.33,
805,0,6,89.58,
810,0,8,91.71,
815,0,9,90.22,
