episode,instability_humans,instability_CAVs,avg_time_lost,time_excess
205,621,414,94.83,
210,0,35,94.16,
215,0,31,94.0,
220,0,40,94.15,
225,0,43,95.95,
230,0,31,94.52,
235,0,39,94.03999999999999,
240,0,32,93.27,
245,0,21,94.51,
250,0,30,93.05,
255,0,42,93.22999999999999,
260,0,36,94.03,
265,0,31,94.99,
270,0,119,93.92,
275,0,37,94.07,
280,0,42,93.27999999999999,
285,0,34,93.13,
290,0,39,92.63,
295,0,35,93.14,
300,0,42,92.17999999999999,
305,0,38,94.27,
310,0,42,93.8,
315,0,32,93.55999999999999,
320,0,28,92.64,
325,0,41,93.98,
330,0,54,93.16999999999999,
335,0,34,92.74,
340,0,22,162.35999999999999,
345,0,27,92.61,
350,0,34,92.91,
355,0,38,91.83,
360,0,38,92.5,
365,0,33,93.19,
370,0,32,92.86999999999999,
375,0,28,93.61,
380,0,35,92.88000000000001,
385,0,35,93.02000000000001,
390,0,39,92.14999999999999,
395,0,43,92.96000000000001,
400,0,29,93.42999999999999,
405,0,20,92.89,
410,0,28,93.64,
415,0,26,92.74,
420,0,30,93.13000000000001,
425,0,29,93.44,
430,0,27,93.4,
435,0,28,92.63,
440,0,28,92.4,
445,0,30,91.47,
450,0,33,93.73,
455,0,28,91.71000000000001,
460,0,34,94.23,
465,0,22,92.5,
470,0,25,93.66,
475,0,24,92.67,
480,0,24,92.76,
485,0,23,93.22,
490,0,22,91.72,
495,0,27,91.96000000000001,
500,0,18,93.37,
505,0,23,93.06,
510,0,20,91.97,
515,0,15,92.05,
520,0,15,92.42,
525,0,22,91.86,
530,0,22,91.79,
535,0,19,92.5,
540,0,17,93.64,
545,0,18,92.43,
550,0,19,92.98,
555,0,16,94.47,
560,0,19,91.78,
565,0,17,91.32,
570,0,21,92.74,
575,0,12,93.39,
580,0,15,92.57,
585,0,18,91.89999999999999,
590,0,18,91.82000000000001,
595,0,17,92.57000000000001,
600,0,16,92.02000000000001,
605,0,18,93.95,
610,0,14,93.55,
615,0,16,93.67,
620,0,19,91.14,
625,0,15,92.04,
630,0,17,94.42999999999999,
635,0,18,93.93,
640,0,13,92.41999999999999,
645,0,18,92.37,
650,0,17,93.41,
655,0,11,92.80000000000001,
660,0,13,94.31,
665,0,10,93.08,
670,0,12,93.17999999999999,
675,0,15,92.32000000000001,
680,0,15,92.19,
685,0,12,92.36,
690,0,13,91.32,
695,0,12,92.87,
700,0,13,94.07,
705,0,16,93.53,
710,0,14,94.47,
715,0,18,92.86999999999999,
720,0,12,91.13,
725,0,11,93.75,
730,0,16,90.96000000000001,
735,0,19,92.34,
740,0,13,93.44,
745,0,12,92.67,
750,0,14,92.23,
755,0,13,93.02,
760,0,8,92.32,
765,0,9,119.66,
770,0,14,93.15,
775,0,16,93.29,
780,0,14,91.89,
785,0,10,91.38,
790,0,14,91.63,
795,0,11,92.75999999999999,
800,0,13,92.91,
805,0,11,90.97,
810,0,12,92.24000000000001,
815,0,11,93.57000000000001,
820,0,12,92.72,
825,0,11,92.34,
830,0,7,92.24,
835,0,12,92.21,
840,0,14,92.94,
845,0,10,91.64,
850,0,12,92.35,
855,0,11,92.02000000000001,
860,0,10,89.85000000000001,
865,0,13,92.89999999999999,
870,0,10,91.33,
875,0,11,92.54,
880,0,11,92.75,
885,0,12,91.65,
890,0,11,92.46,
895,0,10,92.15,
900,0,10,92.62,
905,0,11,92.28,
910,0,14,93.0,
915,0,9,92.49,
920,0,14,92.21000000000001,
925,0,10,92.52,
930,0,10,92.76,
935,0,13,93.42,
940,0,15,93.3,
945,0,12,93.53999999999999,
950,0,10,91.26,
955,0,11,93.05,
960,0,9,92.16000000000001,
965,0,10,92.1,
970,0,13,93.75999999999999,
975,0,11,92.97999999999999,
980,0,7,92.0,
985,0,7,93.09,
990,0,12,93.13,
995,0,15,91.21000000000001,
1000,0,11,93.03,
1005,0,9,93.93,
1010,0,11,93.14,
1015,0,11,91.25,
1020,0,8,93.65,
1025,0,7,93.75999999999999,
1030,0,12,93.19999999999999,
1035,0,12,92.50999999999999,
1040,0,4,92.98,
1045,0,8,91.92,
1050,0,12,94.09,
1055,0,13,92.45,
