episode,instability_humans,instability_CAVs,avg_time_lost,time_excess
205,314,209,37.29,
210,0,20,37.43,
215,0,25,36.9,
220,0,21,37.36000000000001,
225,0,20,37.46,
230,0,17,37.52,
235,0,16,37.309999999999995,
240,0,21,37.06,
245,0,25,37.31,
250,0,21,37.03,
255,0,13,37.23,
260,0,20,37.160000000000004,
265,0,20,37.29,
270,0,52,36.98,
275,0,22,36.79,
280,0,21,37.07,
285,0,18,37.580000000000005,
290,0,30,37.02,
295,0,24,36.82,
300,0,23,36.68,
305,0,24,37.03,
310,0,24,37.37,
315,0,25,36.95,
320,0,21,37.07,
325,0,20,37.09,
330,0,39,36.71,
335,0,23,36.580000000000005,
340,0,22,36.56,
345,0,21,36.63,
350,0,26,36.37,
355,0,22,36.68,
360,0,26,36.64,
365,0,27,36.629999999999995,
370,0,26,36.790000000000006,
375,0,25,36.64,
380,0,28,36.440000000000005,
385,0,28,36.57,
390,0,19,36.72,
395,0,30,36.71,
400,0,20,37.0,
405,0,17,36.62,
410,0,22,36.42,
415,0,15,36.58,
420,0,15,36.489999999999995,
425,0,23,36.57,
430,0,24,36.4,
435,0,16,37.36,
440,0,14,36.49,
445,0,15,36.42,
450,0,24,36.38,
455,0,23,36.5,
460,0,22,36.559999999999995,
465,0,11,36.440000000000005,
470,0,11,36.73,
475,0,13,36.62,
480,0,15,36.57,
485,0,15,36.510000000000005,
490,0,9,36.65,
495,0,13,36.440000000000005,
500,0,16,36.74,
505,0,16,36.74,
510,0,14,36.39,
515,0,14,36.449999999999996,
520,0,15,36.660000000000004,
525,0,16,36.36,
530,0,11,36.45,
535,0,13,36.629999999999995,
540,0,9,36.589999999999996,
545,0,11,36.47,
550,0,12,36.519999999999996,
555,0,10,36.25,
560,0,12,36.58,
565,0,12,36.53,
570,0,11,36.51,
575,0,13,36.6,
580,0,13,36.540000000000006,
585,0,11,36.35,
590,0,10,36.38,
595,0,6,36.59,
600,0,5,36.8,
605,0,9,36.53,
610,0,8,36.5,
615,0,4,36.35,
620,0,7,36.38,
625,0,6,36.3,
630,0,12,36.53,
635,0,9,36.54,
640,0,5,36.48,
645,0,9,36.64,
650,0,11,36.34,
655,0,3,36.48,
660,0,4,36.78,
665,0,8,36.49,
670,0,7,36.25,
675,0,5,36.2,
680,0,5,36.96,
685,0,7,36.589999999999996,
690,0,8,36.44,
695,0,6,36.47,
700,0,9,36.49,
705,0,6,36.56,
710,0,6,36.34,
715,0,5,36.59,
720,0,4,36.6,
725,0,5,36.3,
730,0,5,36.42,
735,0,5,36.53,
740,0,5,36.42,
745,0,5,36.589999999999996,
750,0,5,36.49,
755,0,7,36.38,
760,0,5,36.56,
765,0,6,36.309999999999995,
770,0,8,36.52,
775,0,5,36.239999999999995,
780,0,10,36.66,
785,0,7,36.52,
790,0,7,36.690000000000005,
795,0,7,36.620000000000005,
800,0,7,36.410000000000004,
805,0,2,36.26,
810,0,7,36.29,
815,0,6,36.63,
820,0,1,36.35,
825,0,5,36.35,
830,0,6,36.32,
835,0,6,36.15,
840,0,6,36.440000000000005,
845,0,6,36.46,
850,0,4,36.580000000000005,
855,0,4,36.32,
860,0,5,36.38,
865,0,4,36.69,
870,0,2,36.370000000000005,
875,0,2,36.44,
880,0,4,36.43,
885,0,4,36.4,
890,0,2,36.46,
895,0,6,36.29,
900,0,5,36.44,
905,0,4,36.39,
910,0,5,36.59,
915,0,3,36.44,
920,0,4,36.36,
925,0,3,36.4,
930,0,4,36.260000000000005,
935,0,6,36.57,
940,0,6,36.49,
945,0,4,36.4,
950,0,2,36.37,
955,0,3,36.62,
960,0,5,36.5,
965,0,3,36.31,
970,0,2,36.45,
975,0,2,36.92,
980,0,4,36.52,
985,0,5,36.28,
990,0,4,36.51,
995,0,6,36.3,
1000,0,6,36.56,
1005,0,3,36.43,
1010,0,3,36.36,
1015,0,4,36.32,
1020,0,2,36.27,
1025,0,4,36.43,
1030,0,4,36.44,
1035,0,3,36.379999999999995,
1040,0,5,36.19,
1045,0,4,36.32,
1050,0,1,36.48,
1055,0,1,36.25,
1060,0,2,36.34,
1065,0,2,36.36,
1070,0,5,36.48,
1075,0,2,36.29,
1080,0,3,36.37,
1085,0,5,36.43,
1090,0,2,36.449999999999996,
1095,0,2,36.37,
1100,0,4,36.6,
1105,0,5,36.53,
1110,0,4,36.34,
1115,0,5,36.32,
1120,0,4,36.290000000000006,
1125,0,2,36.6,
1130,0,4,36.25,
1135,0,3,36.410000000000004,
1140,0,4,36.45,
1145,0,3,36.3,
1150,0,4,36.25,
1155,0,3,36.269999999999996,
1160,0,5,36.41,
1165,0,7,36.589999999999996,
1170,0,4,36.35,
1175,0,2,36.3,
1180,0,3,36.62,
1185,0,7,36.42,
1190,0,5,36.38,
1195,0,5,36.53,
1200,0,2,36.410000000000004,
1205,0,1,36.36,
1210,0,0,36.36,
1215,0,0,36.36,
1220,0,0,36.36,
1225,0,0,36.36,
1230,0,0,36.36,
1235,0,0,36.36,
1240,0,0,36.36,
1245,0,0,36.36,
1250,0,0,36.36,
1255,0,0,36.36,
1260,0,0,36.36,
1265,0,0,36.36,
1270,0,0,36.36,
1275,0,0,36.36,
1280,0,0,36.36,
1285,0,0,36.36,
1290,0,0,36.36,
1295,0,0,36.36,
1300,0,0,36.36,
