episode,instability_humans,instability_CAVs,avg_time_lost,time_excess
205,134,88,25.93,
210,0,9,25.78,
215,0,10,25.650000000000002,
220,0,9,25.75,
225,0,6,25.8,
230,0,9,25.92,
235,0,8,25.64,
240,0,10,25.7,
245,0,7,25.92,
250,0,11,25.89,
255,0,12,25.96,
260,0,10,25.61,
265,0,7,25.9,
270,0,23,25.540000000000003,
275,0,6,25.21,
280,0,7,25.740000000000002,
285,0,6,25.33,
290,0,8,25.31,
295,0,8,25.62,
300,0,6,25.41,
305,0,5,25.400000000000002,
310,0,7,25.21,
315,0,4,25.55,
320,0,6,25.3,
325,0,8,25.56,
330,0,8,25.439999999999998,
335,0,3,25.29,
340,0,6,25.73,
345,0,5,25.68,
350,0,5,25.41,
355,0,3,25.18,
360,0,4,25.77,
365,0,4,25.41,
370,0,3,25.38,
375,0,4,25.48,
380,0,3,25.17,
385,0,5,25.29,
390,0,6,25.23,
395,0,8,25.18,
400,0,6,25.26,
405,0,7,25.189999999999998,
410,0,5,25.3,
415,0,5,25.71,
420,0,9,25.369999999999997,
425,0,5,25.78,
430,0,5,25.46,
435,0,7,25.29,
440,0,5,25.17,
445,0,2,25.4,
450,0,2,25.18,
455,0,5,25.55,
460,0,6,25.26,
465,0,3,25.21,
470,0,2,25.25,
475,0,4,25.13,
480,0,2,25.1,
485,0,4,25.38,
490,0,3,25.4,
495,0,1,25.150000000000002,
500,0,1,25.4,
505,0,5,25.07,
510,0,4,25.32,
515,0,4,25.3,
520,0,3,25.240000000000002,
525,0,4,25.18,
530,0,6,25.21,
535,0,2,25.040000000000003,
540,0,3,25.12,
545,0,3,25.18,
550,0,2,25.06,
555,0,1,25.21,
560,0,2,25.080000000000002,
565,0,3,25.19,
570,0,4,25.18,
575,0,2,25.32,
580,0,5,25.330000000000002,
585,0,3,25.080000000000002,
590,0,1,25.310000000000002,
595,0,2,25.06,
600,0,1,25.080000000000002,
605,0,1,25.16,
610,0,3,25.200000000000003,
615,0,3,25.37,
620,0,1,25.169999999999998,
625,0,2,25.16,
630,0,2,25.080000000000002,
635,0,3,25.19,
640,0,2,25.080000000000002,
645,0,1,25.310000000000002,
650,0,1,25.23,
655,0,1,25.32,
660,0,3,25.2,
665,0,1,25.080000000000002,
670,0,2,25.16,
675,0,3,25.23,
680,0,0,25.23,
685,0,4,25.18,
690,0,1,25.16,
695,0,3,25.23,
700,0,1,25.080000000000002,
705,0,1,25.12,
710,0,2,25.23,
715,0,1,25.05,
720,0,0,25.05,
725,0,0,25.05,
730,0,1,25.169999999999998,
735,0,3,25.310000000000002,
740,0,3,25.169999999999998,
745,0,2,25.23,
750,0,3,25.26,
755,0,2,25.16,
760,0,3,25.23,
765,0,1,25.05,
770,0,1,25.21,
775,0,2,25.23,
780,0,3,25.099999999999998,
785,0,4,25.310000000000002,
790,0,2,25.05,
795,0,2,25.080000000000002,
800,0,4,25.36,
805,0,2,25.41,
810,0,1,25.21,
815,0,3,25.05,
820,0,2,25.080000000000002,
825,0,1,25.12,
830,0,0,25.12,
835,0,1,25.16,
840,0,1,25.080000000000002,
845,0,0,25.080000000000002,
850,0,3,25.080000000000002,
855,0,2,25.22,
860,0,3,25.12,
865,0,1,25.16,
870,0,1,25.080000000000002,
875,0,3,25.080000000000002,
880,0,1,25.12,
885,0,2,25.23,
890,0,2,25.12,
895,0,1,25.05,
900,0,0,25.05,
905,0,1,25.23,
910,0,3,25.27,
915,0,1,25.03,
920,0,1,25.27,
925,0,1,25.03,
930,0,2,25.03,
935,0,2,25.03,
940,0,2,25.23,
945,0,1,25.080000000000002,
950,0,1,25.03,
955,0,2,25.12,
960,0,2,25.03,
965,0,3,25.080000000000002,
970,0,2,25.189999999999998,
975,0,2,25.220000000000002,
980,0,2,25.189999999999998,
985,0,1,25.16,
990,0,3,25.16,
995,0,2,25.189999999999998,
1000,0,2,25.029999999999998,
1005,0,2,25.189999999999998,
1010,0,0,25.189999999999998,
1015,0,1,25.21,
1020,0,4,25.23,
1025,0,2,25.16,
1030,0,3,25.11,
1035,0,5,25.21,
1040,0,3,25.0,
1045,0,3,25.18,
1050,0,2,25.23,
1055,0,2,25.040000000000003,
1060,0,2,25.18,
1065,0,2,25.07,
1070,0,1,25.150000000000002,
1075,0,2,25.07,
1080,0,3,25.080000000000002,
1085,0,2,25.040000000000003,
1090,0,2,25.18,
1095,0,3,25.3,
1100,0,5,25.16,
1105,0,3,25.14,
1110,0,3,25.16,
1115,0,3,25.14,
1120,0,1,25.17,
1125,0,0,25.17,
1130,0,3,25.11,
1135,0,3,25.13,
1140,0,2,25.03,
1145,0,3,25.14,
1150,0,3,25.21,
1155,0,3,25.16,
1160,0,2,25.02,
1165,0,2,25.16,
1170,0,2,25.29,
1175,0,2,25.150000000000002,
1180,0,2,25.16,
1185,0,0,25.16,
1190,0,4,25.18,
1195,0,3,25.13,
1200,0,2,25.16,
1205,0,1,25.16,
1210,0,0,25.16,
1215,0,0,25.16,
1220,0,0,25.16,
1225,0,0,25.16,
1230,0,0,25.16,
1235,0,0,25.16,
1240,0,0,25.16,
1245,0,0,25.16,
1250,0,0,25.16,
1255,0,0,25.16,
1260,0,0,25.16,
1265,0,0,25.16,
1270,0,0,25.16,
1275,0,0,25.16,
1280,0,0,25.16,
1285,0,0,25.16,
1290,0,0,25.16,
1295,0,0,25.16,
1300,0,0,25.16,
