episode,instability_humans,instability_CAVs,avg_time_lost,time_excess
205,134,88,25.72,
210,0,9,25.69,
215,0,10,25.74,
220,0,8,25.599999999999998,
225,0,7,25.69,
230,0,9,25.889999999999997,
235,0,8,25.88,
240,0,10,25.75,
245,0,7,25.96,
250,0,12,25.85,
255,0,13,25.709999999999997,
260,0,10,25.74,
265,0,8,25.659999999999997,
270,0,27,25.7,
275,0,8,25.45,
280,0,7,25.83,
285,0,7,25.59,
290,0,8,25.36,
295,0,6,25.51,
300,0,6,25.36,
305,0,3,25.45,
310,0,7,25.32,
315,0,6,25.599999999999998,
320,0,8,25.439999999999998,
325,0,8,25.69,
330,0,9,25.490000000000002,
335,0,4,25.450000000000003,
340,0,5,25.71,
345,0,4,25.58,
350,0,5,25.209999999999997,
355,0,7,25.259999999999998,
360,0,6,25.64,
365,0,4,25.33,
370,0,3,25.35,
375,0,3,25.56,
380,0,2,25.43,
385,0,7,25.490000000000002,
390,0,6,25.439999999999998,
395,0,6,25.209999999999997,
400,0,7,25.360000000000003,
405,0,8,25.330000000000002,
410,0,7,25.259999999999998,
415,0,7,25.580000000000002,
420,0,8,25.38,
425,0,4,25.78,
430,0,5,25.41,
435,0,7,25.17,
440,0,4,25.44,
445,0,4,25.5,
450,0,2,25.18,
455,0,5,25.54,
460,0,3,25.12,
465,0,2,25.27,
470,0,1,25.15,
475,0,3,25.330000000000002,
480,0,4,25.2,
485,0,3,25.05,
490,0,3,25.27,
495,0,4,25.22,
500,0,4,25.310000000000002,
505,0,4,25.22,
510,0,4,25.11,
515,0,4,25.29,
520,0,2,25.18,
525,0,4,25.33,
530,0,3,25.209999999999997,
535,0,2,25.32,
540,0,4,25.12,
545,0,2,25.439999999999998,
550,0,5,25.23,
555,0,2,25.2,
560,0,4,25.240000000000002,
565,0,1,25.32,
570,0,2,25.21,
575,0,1,25.22,
580,0,2,25.150000000000002,
585,0,3,25.21,
590,0,2,25.27,
595,0,3,25.31,
600,0,4,25.19,
605,0,2,25.16,
610,0,2,25.31,
615,0,3,25.24,
620,0,2,25.25,
625,0,4,25.209999999999997,
630,0,3,25.25,
635,0,3,25.34,
640,0,3,25.299999999999997,
645,0,2,25.299999999999997,
650,0,2,25.19,
655,0,3,25.21,
660,0,3,25.25,
665,0,1,25.27,
670,0,1,25.16,
675,0,1,25.27,
680,0,2,25.38,
685,0,2,25.24,
690,0,1,25.15,
695,0,2,25.27,
700,0,2,25.29,
705,0,4,25.18,
710,0,1,25.299999999999997,
715,0,2,25.15,
720,0,0,25.15,
725,0,1,25.150000000000002,
730,0,2,25.09,
735,0,1,25.15,
740,0,2,25.2,
745,0,3,25.16,
750,0,2,25.15,
755,0,2,25.13,
760,0,2,25.27,
765,0,2,25.15,
770,0,1,25.19,
775,0,2,25.27,
780,0,1,25.25,
785,0,2,25.19,
790,0,0,25.19,
795,0,2,25.150000000000002,
800,0,4,25.43,
805,0,3,25.54,
810,0,1,25.369999999999997,
815,0,3,25.150000000000002,
820,0,2,25.25,
825,0,2,25.19,
830,0,2,25.130000000000003,
835,0,1,25.18,
840,0,2,25.13,
845,0,2,25.16,
850,0,0,25.16,
855,0,1,25.150000000000002,
860,0,0,25.150000000000002,
865,0,1,25.15,
870,0,1,25.16,
875,0,2,25.13,
880,0,1,25.150000000000002,
885,0,1,25.13,
890,0,2,25.15,
895,0,2,25.16,
900,0,2,25.13,
905,0,1,25.130000000000003,
910,0,4,25.39,
915,0,1,25.44,
920,0,3,25.13,
925,0,2,25.37,
930,0,1,25.150000000000002,
935,0,1,25.13,
940,0,2,25.39,
945,0,2,25.13,
950,0,0,25.13,
955,0,0,25.13,
960,0,4,25.229999999999997,
965,0,1,25.34,
970,0,2,25.409999999999997,
975,0,2,25.150000000000002,
980,0,1,25.37,
985,0,2,25.27,
990,0,1,25.150000000000002,
995,0,2,25.409999999999997,
1000,0,1,25.37,
1005,0,1,25.150000000000002,
1010,0,1,25.37,
1015,0,3,25.19,
1020,0,1,25.13,
1025,0,0,25.13,
1030,0,2,25.16,
1035,0,2,25.23,
1040,0,2,25.19,
1045,0,0,25.19,
1050,0,1,25.17,
1055,0,1,25.19,
1060,0,1,25.17,
1065,0,1,25.19,
1070,0,2,25.08,
1075,0,2,25.19,
1080,0,2,25.08,
1085,0,3,25.24,
1090,0,1,25.19,
1095,0,1,25.09,
1100,0,1,25.19,
1105,0,0,25.19,
1110,0,1,25.169999999999998,
1115,0,2,25.17,
1120,0,2,25.24,
1125,0,1,25.19,
1130,0,0,25.19,
1135,0,0,25.19,
1140,0,0,25.19,
1145,0,0,25.19,
1150,0,1,25.169999999999998,
1155,0,1,25.19,
1160,0,0,25.19,
1165,0,0,25.19,
1170,0,0,25.19,
1175,0,0,25.19,
1180,0,0,25.19,
1185,0,0,25.19,
1190,0,0,25.19,
1195,0,0,25.19,
1200,0,0,25.19,
1205,0,0,25.19,
1210,0,0,25.19,
1215,0,0,25.19,
1220,0,0,25.19,
1225,0,0,25.19,
1230,0,0,25.19,
1235,0,0,25.19,
1240,0,0,25.19,
1245,0,0,25.19,
1250,0,0,25.19,
1255,0,0,25.19,
1260,0,0,25.19,
1265,0,0,25.19,
1270,0,0,25.19,
1275,0,0,25.19,
1280,0,0,25.19,
1285,0,0,25.19,
1290,0,0,25.19,
1295,0,0,25.19,
1300,0,0,25.19,
