episode,instability_humans,instability_CAVs,avg_time_lost,time_excess
205,314,209,37.08,
210,0,19,37.17,
215,0,24,37.059999999999995,
220,0,21,37.1,
225,0,20,37.410000000000004,
230,0,16,37.28,
235,0,14,37.26,
240,0,21,37.160000000000004,
245,0,24,37.25,
250,0,20,37.12,
255,0,13,36.910000000000004,
260,0,20,37.53,
265,0,18,37.51,
270,0,59,36.65,
275,0,19,36.58,
280,0,27,36.76,
285,0,30,36.77,
290,0,29,36.58,
295,0,28,36.69,
300,0,29,36.72,
305,0,28,36.67,
310,0,25,36.8,
315,0,27,36.78,
320,0,27,36.67,
325,0,23,36.57,
330,0,42,36.63,
335,0,21,36.22,
340,0,24,36.28,
345,0,22,36.56,
350,0,22,36.14,
355,0,26,36.46,
360,0,32,36.629999999999995,
365,0,26,36.58,
370,0,23,36.42,
375,0,24,36.309999999999995,
380,0,23,36.41,
385,0,19,36.48,
390,0,24,36.54,
395,0,29,36.379999999999995,
400,0,21,36.56,
405,0,16,36.42,
410,0,15,36.13,
415,0,19,36.190000000000005,
420,0,16,36.34,
425,0,20,36.28,
430,0,14,36.309999999999995,
435,0,14,36.589999999999996,
440,0,14,36.22,
445,0,19,36.67,
450,0,19,36.42,
455,0,18,36.410000000000004,
460,0,21,36.41,
465,0,16,36.19,
470,0,11,36.22,
475,0,15,36.32,
480,0,16,36.11,
485,0,15,36.35,
490,0,12,36.37,
495,0,11,36.53,
500,0,16,36.18,
505,0,14,36.28,
510,0,12,36.2,
515,0,11,36.150000000000006,
520,0,12,36.129999999999995,
525,0,14,36.080000000000005,
530,0,12,36.29,
535,0,12,36.06,
540,0,14,36.34,
545,0,12,35.940000000000005,
550,0,10,36.27,
555,0,8,36.19,
560,0,10,36.25,
565,0,9,36.33,
570,0,8,36.19,
575,0,7,35.97,
580,0,12,36.19,
585,0,9,36.34,
590,0,10,35.88,
595,0,4,36.31,
600,0,7,36.27,
605,0,7,36.36000000000001,
610,0,11,36.28,
615,0,5,36.03,
620,0,5,36.31,
625,0,5,36.04,
630,0,8,36.1,
635,0,7,36.31,
640,0,4,36.160000000000004,
645,0,6,36.14,
650,0,7,36.27,
655,0,4,36.1,
660,0,6,36.11,
665,0,8,36.14,
670,0,8,36.22,
675,0,8,36.14,
680,0,4,36.33,
685,0,6,36.06,
690,0,6,36.11,
695,0,4,36.3,
700,0,8,36.14,
705,0,6,36.07,
710,0,5,36.07,
715,0,5,36.01,
720,0,7,36.3,
725,0,8,35.95,
730,0,6,36.15,
735,0,5,36.22,
740,0,3,36.23,
745,0,5,36.46,
750,0,5,36.29,
755,0,5,36.14,
760,0,2,36.17,
765,0,4,36.01,
770,0,3,36.1,
775,0,5,36.14,
780,0,6,36.4,
785,0,6,36.09,
790,0,7,36.11,
795,0,2,36.32,
800,0,4,36.23,
805,0,5,36.14,
810,0,8,36.04,
815,0,7,36.17,
820,0,3,36.150000000000006,
825,0,6,36.13,
830,0,2,36.23,
835,0,4,36.13,
840,0,6,36.39,
845,0,7,36.47,
850,0,4,36.07,
855,0,4,35.96,
860,0,2,36.1,
865,0,3,36.01,
870,0,3,36.07,
875,0,6,36.160000000000004,
880,0,4,36.05,
885,0,4,36.08,
890,0,4,36.1,
895,0,5,36.11,
900,0,3,35.949999999999996,
905,0,3,35.92,
910,0,4,36.18,
915,0,3,36.1,
920,0,1,35.96,
925,0,2,36.0,
930,0,3,36.03,
935,0,2,36.02,
940,0,3,35.940000000000005,
945,0,3,36.02,
950,0,3,35.949999999999996,
955,0,1,35.98,
960,0,0,35.98,
965,0,3,36.18,
970,0,2,36.199999999999996,
975,0,4,35.949999999999996,
980,0,3,36.18,
985,0,3,35.96,
990,0,2,36.050000000000004,
995,0,2,35.949999999999996,
1000,0,2,36.050000000000004,
1005,0,1,36.03,
1010,0,0,36.03,
1015,0,2,36.18,
1020,0,0,36.18,
1025,0,2,36.03,
1030,0,3,36.010000000000005,
1035,0,4,35.88,
1040,0,2,35.97,
1045,0,0,35.97,
1050,0,1,35.99,
1055,0,2,35.97,
1060,0,2,36.12,
1065,0,1,35.97,
1070,0,1,35.95,
1075,0,1,35.97,
1080,0,1,36.15,
1085,0,2,35.980000000000004,
1090,0,2,35.99,
1095,0,1,35.97,
1100,0,4,35.910000000000004,
1105,0,4,35.95,
1110,0,7,36.02,
1115,0,2,36.2,
1120,0,2,36.15,
1125,0,1,35.92,
1130,0,3,35.92,
1135,0,2,35.910000000000004,
1140,0,1,35.97,
1145,0,2,35.900000000000006,
1150,0,1,35.78,
1155,0,5,36.199999999999996,
1160,0,2,36.22,
1165,0,4,35.97,
1170,0,4,35.940000000000005,
1175,0,3,35.95,
1180,0,3,35.86,
1185,0,5,35.98,
1190,0,1,36.0,
1195,0,4,35.949999999999996,
1200,0,2,35.9,
1205,0,0,35.9,
1210,0,0,35.9,
1215,0,0,35.9,
1220,0,0,35.9,
1225,0,0,35.9,
1230,0,0,35.9,
1235,0,0,35.9,
1240,0,0,35.9,
1245,0,0,35.9,
1250,0,0,35.9,
1255,0,0,35.9,
1260,0,0,35.9,
1265,0,0,35.9,
1270,0,0,35.9,
1275,0,0,35.9,
1280,0,0,35.9,
1285,0,0,35.9,
1290,0,0,35.9,
1295,0,0,35.9,
1300,0,0,35.9,
