episode,instability_humans,instability_CAVs,avg_time_lost,time_excess
205,621,414,91.96,
210,0,34,92.64999999999999,
215,0,30,92.11999999999999,
220,0,41,91.67,
225,0,43,92.98,
230,0,29,93.09,
235,0,39,91.61,
240,0,32,92.74,
245,0,21,93.21,
250,0,29,93.33,
255,0,38,92.81,
260,0,37,92.59,
265,0,31,93.12,
270,0,117,91.10000000000001,
275,0,40,93.60000000000001,
280,0,45,90.86,
285,0,36,91.1,
290,0,43,92.1,
295,0,39,90.67999999999999,
300,0,46,90.85000000000001,
305,0,43,91.05,
310,0,33,91.47,
315,0,33,92.51,
320,0,33,90.33,
325,0,47,92.07,
330,0,54,90.33,
335,0,34,89.85000000000001,
340,0,28,92.67,
345,0,27,90.37,
350,0,31,90.61,
355,0,29,90.1,
360,0,37,92.49000000000001,
365,0,35,89.93,
370,0,32,90.07,
375,0,32,91.43,
380,0,34,91.87,
385,0,34,90.92999999999999,
390,0,29,90.82000000000001,
395,0,35,90.34,
400,0,31,91.74,
405,0,26,90.39999999999999,
410,0,26,90.36,
415,0,20,90.16000000000001,
420,0,17,92.16000000000001,
425,0,26,89.11,
430,0,24,90.84,
435,0,25,91.83,
440,0,24,91.33999999999999,
445,0,27,90.42999999999999,
450,0,26,91.78999999999999,
455,0,22,90.58,
460,0,29,90.74,
465,0,19,90.39,
470,0,25,91.27000000000001,
475,0,20,89.85000000000001,
480,0,21,90.31,
485,0,21,89.17,
490,0,15,90.27,
495,0,12,89.82000000000001,
500,0,16,90.15,
505,0,20,93.02,
510,0,20,90.1,
515,0,21,90.82000000000001,
520,0,27,91.19,
525,0,22,90.64,
530,0,12,90.98,
535,0,14,90.88,
540,0,18,90.59,
545,0,11,90.15,
550,0,13,93.16,
555,0,11,92.61,
560,0,12,91.03999999999999,
565,0,13,90.80999999999999,
570,0,17,92.2,
575,0,16,89.48,
580,0,20,90.08,
585,0,13,90.62,
590,0,16,89.48,
595,0,18,92.74,
600,0,13,90.51,
605,0,19,90.03999999999999,
610,0,12,90.83,
615,0,17,90.17999999999999,
620,0,15,89.92,
625,0,14,91.08,
630,0,11,89.05000000000001,
635,0,16,91.75,
640,0,18,91.11999999999999,
645,0,15,89.87,
650,0,20,90.91000000000001,
655,0,9,90.05000000000001,
660,0,17,89.46000000000001,
665,0,10,88.56,
670,0,12,89.46,
675,0,13,90.88000000000001,
680,0,12,89.44,
685,0,11,88.89999999999999,
690,0,9,89.75,
695,0,15,90.63,
700,0,12,89.64999999999999,
705,0,7,91.22,
710,0,8,89.32,
715,0,13,89.89,
720,0,9,89.8,
725,0,12,91.22,
730,0,14,89.44000000000001,
735,0,12,92.06,
740,0,10,89.91000000000001,
745,0,9,92.64,
750,0,12,90.06,
755,0,12,89.59,
760,0,8,89.13,
765,0,10,90.96000000000001,
770,0,14,90.56,
775,0,15,89.96,
780,0,11,91.22,
785,0,11,89.95,
790,0,9,90.71,
795,0,10,89.77,
800,0,13,88.83,
805,0,15,89.66,
810,0,14,89.33,
815,0,8,89.89999999999999,
